,名称,链接,价格,评论数
1, C Primer Plus 第6版 中文版 C语言入门经典教程,http://product.dangdang.com/28518608.html,32,33867
2, C 专家编程(，c语言入门宝典！C编程语言经典之作！),http://product.dangdang.com/20105286.html,33,11100
3, C 和指针(Ｃ指针的经典之作，读者好评如潮),http://product.dangdang.com/20165942.html,34,19947
4, C 陷阱与缺陷,http://product.dangdang.com/20105315.html,35,11274
5, C#入门经典(第8版),http://product.dangdang.com/26482935.html,36,14476
6, C#高级编程(第11版) C# 7 & .NET Core 2.0,http://product.dangdang.com/27852634.html,37,9661
7, C++ Primer Plus(第6版)中文版(畅销30年C++必读经典教程全新升级，蔡学镛、孟岩、高博倾力推荐),http://product.dangdang.com/22783504.html,1,61889
8, C++ Primer中文版（第5版）,http://product.dangdang.com/23321562.html,39,24758
9, C++从入门到精通（第3版）,http://product.dangdang.com/25092382.html,40,4449
10, CSS权威指南（第四版）,http://product.dangdang.com/27380293.html,41,1398
11, C程序设计语言（原书第2版·新版）典藏版,http://product.dangdang.com/27849226.html,42,24075
12, C语言从入门到精通（第4版）,http://product.dangdang.com/26918586.html,43,1586
13, Effective C++：改善程序与设计的55个具体做法（第三版）中文版,http://product.dangdang.com/21000966.html,1,8592
14, Effective Java中文版（原书第3版）,http://product.dangdang.com/26437835.html,45,5685
15, Effective Modern C++中文版,http://product.dangdang.com/25273601.html,46,2576
16, Elasticsearch实战,http://product.dangdang.com/25353723.html,47,2279
17, ES6标准入门（第3版）,http://product.dangdang.com/25156888.html,48,7557
18, Essential C++中文版 （C++捷径 首屈一指的必读经典）,http://product.dangdang.com/23298488.html,49,3699
19, Go程序设计语言,http://product.dangdang.com/25072202.html,50,0
20, Go语言实战,http://product.dangdang.com/24193505.html,51,4425
21, Go语言高级编程,http://product.dangdang.com/27896588.html,52,1358
22, Head First Java（中文版）（JAVA经典畅销书 生动有趣 轻松学好JAVA）,http://product.dangdang.com/9265169.html,53,44138
23, HTML5+CSS3+JavaScript从入门到精通（标准版） web开发技术基础视频讲解与案例实战，8大素材库、源,http://product.dangdang.com/25108303.html,1,10837
